ERROR_CODE	URI	COUNT
404	/images/mini/250px_image1235.jpg	89
404	/brak-produktu.html	69
404	/apple-touch-icon.png	48
499	/zarzadzanie/css/style.css	41
404	/brak-strony.html	30
499	/zarzadzanie/programy/ckeditor/skins/moono/editor_gecko.css?t=H0CG	27
499	/zarzadzanie/sprzedaz/sprzedaz.css	18
404	/brak-kategorii.html	12
404	/images/image1235.jpg	12
499	/zarzadzanie/css/formularze/cmxform.css	12
499	/c-272.html	12
499	/javascript/skrypty.php	10
404	/apple-touch-icon-precomposed.png	9
499	/c-62.html	9
499	/szablony/shop_11.rwd/css/style.php?ncss=style,boxy,moduly,podstrony,listingi	8
400	\x03\x00\x00/*\xE0\x00\x00\x00\x00\x00Cookie: mstshash=Administr	6
499	/szablony/shop_11.rwd/obrazki/nawigacja/loader_strony.gif	6
404	/css/rwd.css	5
499	/zarzadzanie/produkty/produkty.css	5
499	/c-272_312.html	5
499	/c-62_284.html	5
499	/	5
499	/c-317.html	5
499	/c-66.html	5
499	/javascript/produkt.php	4
499	/zarzadzanie/ajax/autouzupelnienie_produkty.php	4
404	/apple-icon-57x57.png	3
404	/images/4_wrzesien_3/image8040.jpg	3
499	/szukaj.html/szukaj=query1114/opis=tak/nrkat=tak/kodprod=tak	3
499	/szukaj.html/szukaj=query2474/opis=tak/nrkat=tak/kodprod=tak	3
499	/javascript/jquery.js	3
400	/	2
400	\x01\x02\x03\x04\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	2
404	/apple-touch-icon-120x120.png	2
404	/apple-touch-icon-120x120-precomposed.png	2
404	/apple-icon-180x180.png	2
404	/apple-icon-60x60.png	2
404	/apple-touch-icon-152x152.png	2
404	/apple-touch-icon-152x152-precomposed.png	2
404	//admin/config.php?password%5B0%5D=ZIZO&username=admin	2
499	/szablony/shop_11.rwd/css/style.php?ncss=style,boxy,moduly,produkt,zebra_datepicker	2
499	/c-24.html	2
499	/zarzadzanie/programy/ckeditor/skins/moono/icons.png?t=H0CG	2
499	/inne/autouzupelnienie.php?tok=s6hbfnwrz3kezmn7j2	2
499	/images/wrzesie%C5%84_1/mini/100px_image309.jpg	2
499	/images/3_kwiecien/mini/100px_image55.jpg	2
499	/c-272_311.html	2
499	/p-6699.html	2
499	/inne/autouzupelnienie.php?tok=7stt4jkpb5wa	2
499	/wyszukiwanie-query1208.html	2
499	/images/naglowki/image5.jpg	2
499	/p-3617.html	2
499	/inne/autouzupelnienie.php?tok=keroj5mogsyebi	2
499	/inne/autouzupelnienie.php?tok=rsiftpsf2vpdr0mg	2
499	/inne/autouzupelnienie.php?tok=fiz6661g38	2
499	/inne/autouzupelnienie.php?tok=pnshw339gm4jygcr	2
499	/c-66_73.html/s=5	2
